CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,1ST QTR,,,,2ND QTR,,,,3RD QTR,,,,4TH QTR,,,,GRAND TOTAL 2018
,,,,Total 1st Qtr,January,February,March,Total 2nd Qtr,April,May,June,Total 3RD Qtr,July,August,September,Total 4TH Qtr,October,November,December,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shipcall,,,,"32,514","11,286","9,776","11,452","37,848","12,538","13,128","12,182","34,474","11,835","11,927","10,712","34,293","11,378","11,374","11,541","139,129"
,domestic ,,,"32,262","11,206","9,695","11,361","37,588","12,454","13,031","12,103","34,188","11,739","11,830","10,619","34,017","11,277","11,282","11,458","138,055"
,foreign,,,252,80,81,91,260,84,97,79,286,96,97,93,276,101,92,83,"1,074"
,,,,,,,,,,,,,,,,,,,,
Passenger,,,,"5,090,921","1,904,168","1,453,948","1,732,805","6,985,494","2,438,052","2,694,844","1,852,598","4,632,631","1,576,874","1,679,681","1,376,076","5,254,105","1,662,894","1,658,609","1,932,602","21,963,151"
,disembarking,,,"2,602,605","1,008,936","736,136","857,533","3,563,934","1,253,639","1,372,220","938,075","2,362,680","808,351","857,824","696,505","2,615,464","825,260","854,460","935,744","11,144,683"
,embarking,,,"2,488,316","895,232","717,812","875,272","3,421,560","1,184,413","1,322,624","914,523","2,269,951","768,523","821,857","679,571","2,638,641","837,634","804,149","996,858","10,818,468"
,,,,,,,,,,,,,,,,,,,,
Cargo throughput (MT),,,,"12,905,576","4,299,855","4,050,369","4,555,352","14,938,726","4,726,817","4,816,322","5,395,587","13,898,544","4,601,374","4,822,833","4,474,337","14,173,076","5,050,506","4,711,688","4,410,882","55,915,922"
,Domestic,,,"9,718,837","3,240,935","3,095,507","3,382,395","11,260,936","3,764,836","3,903,488","3,592,613","10,100,045","3,414,414","3,437,857","3,247,775","10,433,005","3,652,827","3,465,221","3,314,957","41,512,823"
,Inbound,,,"4,486,654","1,498,098","1,421,179","1,567,377","5,143,531","1,711,834","1,798,399","1,633,298","4,499,127","1,487,872","1,529,886","1,481,369","5,029,437","1,723,363","1,706,832","1,599,242","19,158,749"
,Bulk,,,"837,614","277,170","262,033","298,411","967,630","335,673","367,021","264,936","844,107","263,685","264,580","315,842","1,201,547","342,512","450,393","408,643","3,850,899"
,Breakbulk,,,"550,909","197,357","180,269","173,283","602,726","207,940","193,025","201,760","527,854","184,361","174,548","168,945","508,925","188,984","175,729","144,211","2,190,413"
,Containerized,,,"1,037,860","325,010","344,873","367,978","1,156,531","371,762","395,549","389,220","1,097,497","389,315","346,707","361,475","1,178,188","442,803","385,464","349,921","4,470,076"
,Rolling,,,"2,060,271","698,561","634,005","727,705","2,416,644","796,458","842,804","777,383","2,029,669","650,511","744,052","635,106","2,140,777","749,064","695,247","696,467","8,647,361"
,Outbound,,,"5,232,183","1,742,837","1,674,327","1,815,018","6,117,406","2,053,002","2,105,088","1,959,315","5,600,918","1,926,542","1,907,970","1,766,406","5,403,568","1,929,464","1,758,388","1,715,715","22,354,074"
,Bulk,,,"500,108","191,981","167,995","140,131","531,281","192,249","188,874","150,158","499,359","163,206","184,240","151,913","454,111","199,221","119,656","135,233","1,984,858"
,Breakbulk,,,"1,681,724","543,650","541,896","596,177","1,812,089","626,533","611,982","573,574","1,690,252","588,032","557,765","544,455","1,578,223","576,958","522,440","478,826","6,762,288"
,Containerized,,,"700,688","221,523","234,897","244,268","779,735","256,222","258,651","264,863","769,099","259,945","252,070","257,084","947,794","480,789","252,840","214,165","3,197,316"
,Rolling,,,"2,349,664","785,683","729,539","834,442","2,994,300","977,998","1,045,582","970,721","2,642,208","915,359","913,895","812,954","2,423,440","672,496","863,453","887,492","10,409,612"
,Foreign,,,"3,186,739","1,058,920","954,862","1,172,957","3,677,790","961,981","912,834","1,802,974","3,798,499","1,186,961","1,384,976","1,226,562","3,740,071","1,397,679","1,246,468","1,095,924","14,403,099"
,Export,,,"519,075","146,360","148,646","224,070","1,090,393","143,897","131,397","815,098","546,736","192,652","163,055","191,029","492,357","151,120","193,879","147,358","2,648,561"
,Bulk,,,"237,268","62,793","62,616","111,860","832,543","62,321","34,018","736,204","267,405","107,444","60,671","99,290","221,470","67,952","106,252","47,267","1,558,687"
,Breakbulk,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Containerized,,,"281,807","83,567","86,030","112,210","257,849","81,576","97,379","78,894","279,331","85,208","102,384","91,739","270,887","83,169","87,627","100,091","1,089,874"
,Rolling,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Import,,,"2,667,664","912,561","806,216","948,887","2,587,397","818,084","781,437","987,876","3,251,763","994,309","1,221,921","1,035,533","3,247,714","1,246,559","1,052,589","948,566","11,754,538"
,Bulk,,,"1,651,386","539,737","507,449","604,200","1,570,455","524,323","433,383","612,749","2,124,726","631,754","851,787","641,185","2,142,983","857,603","701,572","583,808","7,489,549"
,Breakbulk,,,"221,817","87,836","36,202","97,780","183,137","43,034","39,770","100,333","224,256","73,315","60,515","90,426","176,019","60,323","46,806","68,890","805,230"
,Containerized,,,"794,461","284,988","262,566","246,908","833,805","250,727","308,284","274,794","902,781","289,240","309,619","303,923","928,712","328,633","304,211","295,868","3,459,759"
,Rolling,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
Container (TEU),,,,"216,603","70,040","71,832","74,732","236,407","73,743","83,479","79,185","246,840","84,069","80,847","81,924","253,889","95,501","81,857","76,532","953,739"
,Domestic,,,"131,082","41,286","43,444","46,353","149,095","48,132","50,988","49,975","142,534","49,872","46,323","46,339","145,103","55,152","46,893","43,059","567,814"
,Inbound,,,"67,451","20,831","22,696","23,925","75,450","24,158","26,169","25,124","73,174","26,097","23,111","23,966","76,474","28,386","24,943","23,145","292,548"
,Fulls,,,"59,306","18,572","19,707","21,027","65,859","21,244","22,603","22,013","62,803","22,337","19,811","20,656","67,325","25,303","22,027","19,996","255,293"
,Empties,,,"8,145","2,259","2,989","2,898","9,592","2,915","3,566","3,111","10,371","3,761","3,300","3,311","9,149","3,083","2,917","3,149","37,255"
,Outbound,,,"63,631","20,455","20,748","22,428","73,645","23,974","24,820","24,852","69,360","23,775","23,212","22,373","68,630","26,766","21,950","19,914","275,265"
,Fulls,,,"39,949","12,628","13,393","13,928","44,557","14,642","14,780","15,135","43,949","14,854","14,404","14,691","42,343","15,657","14,448","12,238","170,796"
,Empties,,,"23,683","7,827","7,356","8,500","29,088","9,332","10,040","9,717","25,412","8,921","8,808","7,683","26,287","11,109","7,502","7,676","104,469"
