CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,1st Quarter,,,,,,,,,TOTAL,2nd Quarter,,,,,,,,,TOTAL,3rd Quarter,,,,,,,,,TOTAL,4th Quarter,,,,,,,,,Grand Total,Grand Total,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipcall,,,,"35,343",171,"1,674","9,874","4,432","5,701","2,024","3,570","1,907","5,990","9,322",156,638,356,716,"2,074",595,704,"1,413","2,670","15,881",182,"1,015",937,961,"4,928","1,232","1,303","2,029","3,294","18,997",167,"1,035","1,515","1,065","6,083","1,562","2,956","1,997","2,617","79,543",676,"4,362","12,682","7,174","18,786","5,413","8,533","7,346","14,571"
,domestic ,,,"35,066",38,"1,674","9,874","4,410","5,673","2,021","3,570","1,863","5,943","9,096",29,638,356,700,"2,055",594,704,"1,377","2,643","15,622",46,"1,014",937,947,"4,898","1,229","1,303","1,991","3,257","18,746",41,"1,035","1,515","1,038","6,068","1,559","2,956","1,954","2,580","78,530",154,"4,361","12,682","7,095","18,694","5,403","8,533","7,185","14,423"
,foreign,,,277,133,,,22,28,3,0,44,47,226,127,,,16,19,1,,36,27,259,136,1,,14,30,3,,38,37,251,126,,,27,15,3,,43,37,"1,013",522,1,0,79,92,10,0,161,148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger,,,,"5,077,033",0,"486,947","1,836,225","1,102,374","146,877","272,236","489,833","331,882","410,659","89,134",0,"1,789","1,485","14,320","3,706","26,739","17,233",0,"23,862","438,753",0,"23,852","39,689","32,421","189,972","80,397","48,308",80,"24,034","662,316",0,"40,785","105,377","44,268","85,431","185,306","178,463","1,044","21,642","6,267,236",0,"553,373","1,982,776","1,193,383","425,986","564,678","733,837","333,006","480,197"
,disembarking,,,"2,612,525",,"249,218","915,002","622,306","70,951","134,576","244,269","177,196","199,007","40,800",,976,843,"5,151","1,847","13,215","8,399",0,"10,369","209,459",,"8,538","21,664","11,514","94,759","39,362","24,088",80,"9,454","327,212",,"18,483","56,444","20,128","41,767","91,325","89,016",3,"10,046","3,189,996",0,"277,215","993,953","659,099","209,324","278,478","365,772","177,279","228,876"
,emmbarking,,,"2,464,508",,"237,729","921,223","480,068","75,926","137,660","245,564","154,686","211,652","48,334",,813,642,"9,169","1,859","13,524","8,834",0,"13,493","229,294",,"15,314","18,025","20,907","95,213","41,035","24,220",,"14,580","335,104",,"22,302","48,933","24,140","43,664","93,981","89,447","1,041","11,596","3,077,240",0,"276,158","988,823","534,284","216,662","286,200","368,065","155,727","251,321"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
