CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,1st Quarter,,,,,,,,,TOTAL,2nd Quarter,,,,,,,,,TOTAL,3rd Quarter,,,,,,,,,TOTAL,4th Quarter,,,,,,,,,Grand Total,Grand Total,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipcall,,,,"20,614",164,"1,087","1,865","1,253","5,558","1,897","3,679","2,068","3,043","23,310",167,"1,313","1,821","1,471","5,237","2,632","4,871","2,121","3,677","21,723",164,"1,238","1,253","1,147","6,487","2,380","3,935","1,963","3,156","20,650",140,"1,143","2,145","1,590","4,272","2,301","3,777","2,052","3,230","86,297",635,"4,781","7,084","5,461","21,554","9,210","16,262","8,204","13,106"
,domestic ,,,"20,354",44,"1,086","1,865","1,227","5,525","1,895","3,679","2,036","2,997","23,060",47,"1,313","1,821","1,444","5,222","2,627","4,871","2,084","3,631","21,459",48,"1,238","1,253","1,117","6,454","2,377","3,935","1,925","3,112","20,391",44,"1,143","2,145","1,545","4,239","2,298","3,777","2,010","3,190","85,264",183,"4,780","7,084","5,333","21,440","9,197","16,262","8,055","12,930"
,foreign,,,260,120,1,0,26,33,2,,32,46,250,120,0,,27,15,5,,37,46,264,116,,,30,33,3,,38,44,259,96,,,45,33,3,,42,40,"1,033",452,1,0,128,114,13,0,149,176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger,,,,"932,986",0,"73,431","132,265","84,602","70,460","254,816","270,030","14,534","32,848","1,523,607",0,"111,966","152,548","147,422","81,412","422,382","469,658","22,527","115,692","927,407",0,"73,346","71,755","85,311","78,766","244,086","271,090","12,844","90,209","1,616,237",0,"161,411","197,825","229,749","62,505","310,425","382,543","78,917","192,862","5,000,237",0,"420,154","554,393","547,084","293,143","1,231,709","1,393,321","128,822","431,611"
,disembarking,,,"462,974",,"36,452","67,841","41,392","35,036","126,126","134,063","6,347","15,717","775,955",,"59,929","77,739","73,198","41,037","222,948","232,813","11,377","56,914","463,172",,"36,562","35,942","44,061","38,941","121,654","134,093","5,686","46,233","794,676",,"77,408","101,181","120,436","30,710","152,459","187,921","36,083","88,478","2,496,777",0,"210,351","282,703","279,087","145,724","623,187","688,890","59,493","207,342"
,emmbarking,,,"470,012",,"36,979","64,424","43,210","35,424","128,690","135,967","8,187","17,131","747,652",,"52,037","74,809","74,224","40,375","199,434","236,845","11,150","58,778","464,235",,"36,784","35,813","41,250","39,825","122,432","136,997","7,158","43,976","821,561",,"84,003","96,644","109,313","31,795","157,966","194,622","42,834","104,384","2,503,460",0,"209,803","271,690","267,997","147,419","608,522","704,431","69,329","224,269"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
