CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 1ST QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,JANUARY 2022,,,,,,,,,TOTAL,FEBRUARY 2022,,,,,,,,,TOTAL,MARCH 2022,,,,,,,,,TOTAL,1st QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipcall,,,,"7,499",47,452,668,524,"1,921",653,"1,360",632,"1,242","7,891",44,441,930,597,"1,824",676,"1,407",668,"1,304","9,280",72,517,"1,146",773,"2,461",818,"1,474",776,"1,243","24,670",163,"1,410","2,744","1,894","6,206","2,147","4,241","2,076","3,789"
,domestic ,,,"7,429",13,452,668,514,"1,914",650,"1,360",622,"1,236","7,817",14,440,930,582,"1,819",674,"1,407",659,"1,292","9,199",27,517,"1,146",762,"2,456",818,"1,474",766,"1,233","24,445",54,"1,409","2,744","1,858","6,189","2,142","4,241","2,047","3,761"
,foreign,,,70,34,,,10,7,3,,10,6,74,30,1,,15,5,2,,9,12,81,45,0,0,11,5,0,0,10,10,225,109,1,0,36,17,5,0,29,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger,,,,"806,796",0,"108,847","80,582","116,180","107,154","93,605","139,861","61,093","99,474","818,292",0,"102,483","107,315","116,846","119,924","65,164","147,231","58,303","101,026","1,127,529",0,"130,520","161,280","170,030","162,938","119,981","169,879","86,799","126,102","2,752,617",0,"341,850","349,177","403,056","390,016","278,750","456,971","206,195","326,602"
,disembarking,,,"439,611",,"65,173","42,299","69,112","55,979","47,798","69,718","37,445","52,087","423,706",,"53,561","55,601","66,126","64,355","32,145","72,521","30,480","48,917","581,223",0,"66,395","83,037","91,890","87,104","61,466","84,819","45,132","61,380","1,444,540",0,"185,129","180,937","227,128","207,438","141,409","227,058","113,057","162,384"
,emmbarking,,,"367,185",,"43,674","38,283","47,068","51,175","45,807","70,143","23,648","47,387","394,586",,"48,922","51,714","50,720","55,569","33,019","74,710","27,823","52,109","546,306",0,"64,125","78,243","78,140","75,834","58,515","85,060","41,667","64,722","1,308,077",0,"156,721","168,240","175,928","182,578","137,341","229,913","93,138","164,218"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
