CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 4TH QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,OCTOBER,,,,,,,,,TOTAL,NOVEMBER,,,,,,,,,TOTAL,DECEMBER,,,,,,,,,TOTAL,4TH QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipcall,,,,"9,967",50,362,"1,400",879,"2,487",855,"1,387",784,"1,763","10,600",51,384,"1,477",881,"2,513","1,277","1,390",851,"1,776","10,119",52,389,"1,486",992,"2,573",774,"1,378",814,"1,661","30,686",153,"1,135","4,363","2,752","7,573","2,906","4,155","2,449","5,200"
,domestic ,,,"9,885",15,362,"1,400",868,"2,479",854,"1,387",773,"1,747","10,525",18,384,"1,477",872,"2,506","1,276","1,390",838,"1,764","10,032",17,389,"1,486",972,"2,566",771,"1,378",804,"1,649","30,442",50,"1,135","4,363","2,712","7,551","2,901","4,155","2,415","5,160"
,foreign,,,82,35,,,11,8,1,,11,16,75,33,,,9,7,1,,13,12,87,35,,,20,7,3,,10,12,244,103,0,0,40,22,5,0,34,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger,,,,"1,118,309",0,"102,814","225,029","218,396","102,425","109,576","124,338","101,684","134,047","1,254,480",0,"111,025","275,572","226,818","152,587","123,418","127,519","103,733","133,808","1,471,883",0,"127,433","302,961","318,721","138,516","114,712","174,298","122,566","172,676","3,844,672",0,"341,272","803,562","763,935","393,528","347,706","426,155","327,983","440,531"
,disembarking,,,"563,489",0,"49,071","116,811","116,881","47,748","54,285","61,796","48,937","67,960","662,910",,"58,904","144,962","128,625","74,127","62,523","63,852","58,433","71,484","720,758",0,"61,543","152,444","157,733","66,931","57,595","86,383","57,715","80,414","1,947,157",0,"169,518","414,217","403,239","188,806","174,403","212,031","165,085","219,858"
,embarking,,,"554,820",0,"53,743","108,218","101,515","54,677","55,291","62,542","52,747","66,087","591,570",,"52,121","130,610","98,193","78,460","60,895","63,667","45,300","62,324","751,125",0,"65,890","150,517","160,988","71,585","57,117","87,915","64,851","92,262","1,897,515",0,"171,754","389,345","360,696","204,722","173,303","214,124","162,898","220,673"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
