CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 2ND QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,APRIL 2023,,,,,,,,,TOTAL,MAY 2023,,,,,,,,,TOTAL,JUNE 2023,,,,,,,,,TOTAL,2ND QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipcall,,,,"12,214",63,403,"1,748","1,119","3,374","1,125","1,783",867,"1,732","11,937",60,428,"1,843","1,141","3,227",942,"1,574",881,"1,841","11,004",55,403,"1,806","1,070","2,624",845,"1,511",868,"1,822","35,155",178,"1,234","5,397","3,330","9,225","2,912","4,868","2,616","5,395"
,domestic ,,,"12,129",14,402,"1,748","1,114","3,366","1,124","1,783",857,"1,721","11,854",19,428,"1,843","1,136","3,219",941,"1,574",869,"1,825","10,928",16,403,"1,806","1,066","2,616",845,"1,511",856,"1,809","34,911",49,"1,233","5,397","3,316","9,201","2,910","4,868","2,582","5,355"
,foreign,,,85,49,1,,5,8,1,,10,11,83,41,,,5,8,1,,12,16,76,39,0,0,4,8,0,0,12,13,244,129,1,0,14,24,2,0,34,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger,,,,"1,729,956",0,"168,634","305,056","311,950","175,836","187,394","267,098","137,371","176,617","1,587,167",0,"170,437","345,831","324,439","135,987","155,167","176,569","121,695","157,042","1,602,539",0,"181,630","331,821","316,581","179,558","112,768","182,981","131,615","165,585","4,919,662",0,"520,701","982,708","952,970","491,381","455,329","626,648","390,681","499,244"
,disembarking,,,"875,972",,"84,901","149,471","168,858","82,298","93,067","132,243","71,779","93,355","829,641",0,"86,800","175,961","186,283","68,140","76,065","88,589","65,533","82,270","826,514",,"93,285","168,740","177,527","82,876","54,570","90,813","70,696","88,007","2,532,127",0,"264,986","494,172","532,668","233,314","223,702","311,645","208,008","263,632"
,emmbarking,,,"853,984",,"83,733","155,585","143,092","93,538","94,327","134,855","65,592","83,262","757,526",0,"83,637","169,870","138,156","67,847","79,102","87,980","56,162","74,772","776,025",,"88,345","163,081","139,054","96,682","58,198","92,168","60,919","77,578","2,387,535",0,"255,715","488,536","420,302","258,067","231,627","315,003","182,673","235,612"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
