CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 3RD QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,JULY 2023,,,,,,,,,TOTAL,AUGUST 2023,,,,,,,,,TOTAL,SEPTEMBER 2023,,,,,,,,,TOTAL,3RD QUARTER 2023,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipcall,,,,"10,843",52,377,"1,679","1,017","2,703","1,057","1,347",830,"1,781","11,222",56,380,"1,660","1,066","3,024",919,"1,423",871,"1,823","11,074",52,358,"1,730","1,038","3,098",766,"1,310",890,"1,832","33,139",160,"1,115","5,069","3,121","8,825","2,742","4,080","2,591","5,436"
,domestic ,,,"10,773",18,376,"1,679","1,012","2,697","1,057","1,347",819,"1,768","11,141",19,380,"  1,660 ","1,061","3,016",917,"1,423",857,"1,808","10,993",11,358,"1,730","1,031","3,091",764,"1,310",880,"1,818","32,907",48,"1,114","5,069","3,104","8,804","2,738","4,080","2,556","5,394"
,foreign,,,70,34,1,,5,6,,,11,13,81,37,,,5,8,2,,14,15,81,41,,,7,7,2,,10,14,232,112,1,0,17,21,4,0,35,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger,,,,"1,817,837",0,"204,255","360,447","382,919","185,979","161,906","174,945","156,809","190,577","1,779,516",0,"185,761","353,483","382,403","199,017","135,218","184,844","144,654","194,136","1,337,989",0,"112,837","294,006","253,708","211,824","87,791","121,594","104,137","152,092","4,935,342",0,"502,853","1,007,936","1,019,030","596,820","384,915","481,383","405,600","536,805"
,disembarking,,,"946,438",0,"106,377","185,658","215,888","85,758","79,607","87,704","84,094","101,352","909,464",0,"97,043","180,365","204,660","92,570","66,323","92,675","76,530","99,298","678,844",0,"59,411","149,992","134,234","99,401","43,434","60,479","53,395","78,498","2,534,746",0,"262,831","516,015","554,782","277,729","189,364","240,858","214,019","279,148"
,emmbarking,,,"871,399",0,"97,878","174,789","167,031","100,221","82,299","87,241","72,715","89,225","870,052",0,"88,718","173,118","177,743","106,447","68,895","92,169","68,124","94,838","659,145",0,"53,426","144,014","119,474","112,423","44,357","61,115","50,742","73,594","2,400,596",0,"240,022","491,921","464,248","319,091","195,551","240,525","191,581","257,657"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
