Quarter,Passengers
2013-01-01,1386
2013-04-01,1551
2013-07-01,1376
2013-10-01,1398
2014-01-01,1315
2014-04-01,1511
2014-07-01,1366
2014-10-01,1357
2015-01-01,1384
2015-04-01,1512
2015-07-01,1363
2015-10-01,1465
2016-01-01,1597
2016-04-01,1739
2016-07-01,1611
2016-10-01,1619
2017-01-01,1576
2017-04-01,1781
2017-07-01,1823
2017-10-01,1714
2018-01-01,1656
2018-04-01,1928
2018-07-01,1756
2018-10-01,1747
2019-01-01,2578
2019-04-01,2876
2019-07-01,2479
2019-10-01,2679
2020-01-01,2303
2020-04-01,372
2020-07-01,499
2020-10-01,553
2021-01-01,651
2021-04-01,764
2021-07-01,596
2021-10-01,826
2022-01-01,984
2022-04-01,1274
2022-07-01,1358
2022-10-01,1430
2023-01-01,1582
2023-04-01,1731
2023-07-01,1622
2023-10-01,1616
