Quarter,Passengers
2013-01-01,1281
2013-04-01,1433
2013-07-01,1272
2013-10-01,1292
2014-01-01,1215
2014-04-01,1397
2014-07-01,1263
2014-10-01,1254
2015-01-01,1280
2015-04-01,1397
2015-07-01,1259
2015-10-01,1354
2016-01-01,1476
2016-04-01,1608
2016-07-01,1489
2016-10-01,1497
2017-01-01,1457
2017-04-01,1646
2017-07-01,1684
2017-10-01,1585
2018-01-01,1531
2018-04-01,1782
2018-07-01,1623
2018-10-01,1615
2019-01-01,2383
2019-04-01,2659
2019-07-01,2292
2019-10-01,2477
2020-01-01,2129
2020-04-01,344
2020-07-01,462
2020-10-01,512
2021-01-01,602
2021-04-01,707
2021-07-01,551
2021-10-01,764
2022-01-01,910
2022-04-01,1178
2022-07-01,1256
2022-10-01,1322
2023-01-01,1463
2023-04-01,1599
2023-07-01,1499
2023-10-01,1494
