Quarter,Passengers
2013-01-01,419742
2013-04-01,524434
2013-07-01,374654
2013-10-01,449181
2014-01-01,391562
2014-04-01,517424
2014-07-01,363577
2014-10-01,416356
2015-01-01,430247
2015-04-01,568817
2015-07-01,414795
2015-10-01,481885
2016-01-01,486078
2016-04-01,633942
2016-07-01,451683
2016-10-01,520523
2017-01-01,475586
2017-04-01,648125
2017-07-01,489318
2017-10-01,531503
2018-01-01,522740
2018-04-01,718793
2018-07-01,476866
2018-10-01,554319
2019-01-01,656320
2019-04-01,878560
2019-07-01,604634
2019-10-01,645729
2020-01-01,480068
2020-04-01,9169
2020-07-01,20907
2020-10-01,24140
2021-01-01,43210
2021-04-01,74224
2021-07-01,41250
2021-10-01,109313
2022-01-01,175928
2022-04-01,401373
2022-07-01,385754
2022-10-01,360696
2023-01-01,350944
2023-04-01,420302
2023-07-01,464248
2023-10-01,421118
