Quarter,Passengers
2013-01-01,470063
2013-04-01,591895
2013-07-01,427922
2013-10-01,499322
2014-01-01,446179
2014-04-01,578941
2014-07-01,407438
2014-10-01,465132
2015-01-01,485361
2015-04-01,639533
2015-07-01,453215
2015-10-01,528157
2016-01-01,561397
2016-04-01,714638
2016-07-01,506009
2016-10-01,567743
2017-01-01,559244
2017-04-01,753107
2017-07-01,557950
2017-10-01,592717
2018-01-01,597000
2018-04-01,817515
2018-07-01,541965
2018-10-01,599950
2019-01-01,793174
2019-04-01,872405
2019-07-01,790598
2019-10-01,885861
2020-01-01,915002
2020-04-01,101181
2020-07-01,180937
2020-10-01,360051
2021-01-01,397706
2021-04-01,414217
2021-07-01,465033
2021-10-01,101181
2022-01-01,180937
2022-04-01,360051
2022-07-01,397706
2022-10-01,414217
2023-01-01,465033
2023-04-01,494172
2023-07-01,516015
2023-10-01,528243
