Quarter,Passengers
2013-01-01,17402
2013-04-01,16062
2013-07-01,17297
2013-10-01,19440
2014-01-01,19965
2014-04-01,18427
2014-07-01,19844
2014-10-01,20411
2015-01-01,20962
2015-04-01,19347
2015-07-01,20835
2015-10-01,7203
2016-01-01,7397
2016-04-01,6827
2016-07-01,7352
2016-10-01,7751
2017-01-01,7960
2017-04-01,7347
2017-07-01,7912
2017-10-01,9874
2018-01-01,356
2018-04-01,937
2018-07-01,1515
2018-10-01,1865
2019-01-01,1821
2019-04-01,1253
2019-07-01,2145
2019-10-01,2744
2020-01-01,3555
2020-04-01,4150
2020-07-01,4363
2020-10-01,5043
2021-01-01,5397
2021-04-01,5069
2021-07-01,5558
2021-10-01,17402
2022-01-01,16062
2022-04-01,17297
2022-07-01,19440
2022-10-01,19965
2023-01-01,18427
2023-04-01,19844
2023-07-01,20411
2023-10-01,20962
