original,forecast
2024-01-01,563775.5337091764
2024-04-01,563680.9724325382
2024-07-01,503270.7302335906
2024-10-01,544401.1547540084
2025-01-01,595531.2435592483
2025-04-01,589523.71575198
2025-07-01,519916.5501179042
2025-10-01,566345.7828209103
2026-01-01,619164.820529249
2026-04-01,613324.7314858555
2026-07-01,543072.4399922092
2026-10-01,591251.444542154
2027-01-01,645027.436460093
2027-04-01,639751.1915811866
2027-07-01,569818.5934988293
2027-10-01,618662.4775316642
2028-01-01,672896.368669125
2028-04-01,667954.4555795611
2028-07-01,598269.1234061249
2028-10-01,647386.2126660798
2029-01-01,701827.6038176044
2029-04-01,697047.7111730183
2029-07-01,627489.7942454854
2029-10-01,676723.3657394326
2030-01-01,731256.8961480046
2030-04-01,726550.7571676269
2030-07-01,657052.0620243666
2030-10-01,706336.0969065205
2031-01-01,760910.2159325234
2031-04-01,756236.8841711109
2031-07-01,686764.7412614811
2031-10-01,736070.7847331229
2032-01-01,790662.7264829931
2032-04-01,786003.8568175167
2032-07-01,716543.4553313471
2032-10-01,765859.1237589214
2033-01-01,820458.8814710258
2033-04-01,815806.3639861973
2033-07-01,746351.1261639197
2033-10-01,795671.0085584115
2034-01-01,850274.1920806288
2034-04-01,845624.460591967
2034-07-01,776171.4886464187
2034-10-01,825493.2168261984
2035-01-01,880097.9015941581
2035-04-01,875449.3912901725
2035-07-01,805997.412750135
2035-10-01,855319.9495631523
2036-01-01,909925.292144644
2036-04-01,905277.3169936588
2036-07-01,835825.7738246127
2036-10-01,885148.6649241599
2037-01-01,939754.2957352618
2037-04-01,935106.5550785683
2037-07-01,865655.2026876315
2037-10-01,914978.2490154968
2038-01-01,969584.0061163778
2038-04-01,964936.3682067447
2038-07-01,895485.0994091438
2038-10-01,944808.2137501215
2039-01-01,999414.0261854148
2039-04-01,994766.4332951666
2039-07-01,925315.2011248096
2039-10-01,974638.345265806
2040-01-01,1029244.181946054
2040-04-01,1024596.6087812538
2040-07-01,955145.3926593265
2040-10-01,1004468.54985726
2041-01-01,1059074.3971605047
2041-04-01,1054426.8326384763
2041-07-01,984975.6235482295
2041-10-01,1034298.7864670904
2042-01-01,1088904.6384248296
2042-04-01,1084257.0776896568
2042-07-01,1014805.8716803622
2042-10-01,1064129.0371058616
2043-01-01,1118734.8911029801
2043-04-01,1114087.3320270283
2043-07-01,1044636.1273676616
2043-10-01,1093959.293891451
2044-01-01,1148565.148782129
2044-04-01,1143917.5904331694
2044-07-01,1074466.3863652772
2044-10-01,1123789.5533702853
2045-01-01,1178395.4086524784
2045-04-01,1173747.8506220523
2045-07-01,1104296.6468133163
2045-10-01,1153619.8140291716
2046-01-01,1208225.6694829082
2046-04-01,1203578.1115920485
2046-07-01,1134126.9078968624
2046-10-01,1183450.075205101
2047-01-01,1238055.9307339997
2047-04-01,1233408.3729042911
2047-07-01,1163957.1692588571
2047-10-01,1213280.3366075736
2048-01-01,1267886.1921694048
2048-04-01,1263238.63436649
2048-07-01,1193787.430742855
2048-10-01,1243110.598109307
2049-01-01,1297716.4536855677
2049-04-01,1293068.8958943926
2049-07-01,1223617.692280309
2049-10-01,1272940.859654532
2050-01-01,1327546.715237115
2050-04-01,1322899.1574510834
2050-07-01,1253447.9538411847
2050-10-01,1302771.1212188127
2051-01-01,1357376.9768041659
2051-04-01,1352729.4190203883
2051-07-01,1283278.2154123231
2051-10-01,1332601.3827914426
2052-01-01,1387207.2383780095
2052-04-01,1382559.6805952194
2052-07-01,1313108.4769879577
2052-10-01,1362431.644367731
2053-01-01,1417037.4999548297
2053-04-01,1412389.9421724721
2053-07-01,1342938.7385655625
2053-10-01,1392261.9059456221
