original,forecast
2024-01-01,20673.55383935322
2024-04-01,20498.6948317301
2024-07-01,20752.81531636692
2024-10-01,22213.289135352523
2025-01-01,22405.10572007582
2025-04-01,22571.837710721567
2025-07-01,22869.67852113008
2025-10-01,24056.19441768632
2026-01-01,24034.006310701065
2026-04-01,24437.052748462407
2026-07-01,25064.449003406855
2026-10-01,26231.147905315374
2027-01-01,25934.23884281014
2027-04-01,26232.685181660614
2027-07-01,27027.889035484353
2027-10-01,28362.36461858259
2028-01-01,28019.529483524177
2028-04-01,28166.368169660087
2028-07-01,28920.38954691041
2028-10-01,30352.27072983706
2029-01-01,30091.799813849946
2029-04-01,30205.406226224193
2029-07-01,30877.921059473665
2029-10-01,32293.757332690744
2030-01-01,32088.839314532852
2030-04-01,32243.780349929428
2030-07-01,32894.12897087601
2030-10-01,34266.13713235106
2031-01-01,34055.96425248371
2031-04-01,34242.54852305527
2031-07-01,34913.34862681608
2031-10-01,36271.11772308913
2032-01-01,36037.57221143953
2032-04-01,36223.2538702832
2032-07-01,36911.90146152386
2032-10-01,38279.58790644099
2033-01-01,38037.176599340644
2033-04-01,38210.51319496118
2033-07-01,38899.73658205495
2033-10-01,40277.39253809197
2034-01-01,40039.67486556094
2034-04-01,40207.62255726016
2034-07-01,40890.38753396875
2034-10-01,42268.93282676897
2035-01-01,42036.734274760616
2035-04-01,42206.83333665464
2035-07-01,42886.38429336816
2035-10-01,44261.58537902833
2036-01-01,44030.179231784015
2036-04-01,44203.3074119547
2036-07-01,44883.80070256258
2036-10-01,46257.11476091018
2037-01-01,46023.99648752551
2037-04-01,46197.71961110162
2037-07-01,46879.86137860993
2037-10-01,48253.559998176264
2038-01-01,48019.34859317306
2038-04-01,48192.206298823694
2038-07-01,48874.75793631628
2038-10-01,50249.34612725822
2039-01-01,50015.27265378172
2039-04-01,50187.50455815848
2039-07-01,50869.62517963095
2039-10-01,52244.48126037185
2040-01-01,52010.883734149225
2040-04-01,52183.151360063464
2040-07-01,52864.917509969026
2040-10-01,54239.56267684004
2041-01-01,54006.13403725324
2041-04-01,54178.65406904843
2041-07-01,54860.41815059383
2041-10-01,56234.864489499014
2042-01-01,56001.33486479397
2042-04-01,56173.95856512377
2042-07-01,56855.8552671535
2042-10-01,58230.28882066747
2043-01-01,57996.648689576556
2043-04-01,58169.22538018489
2043-07-01,58851.18440473225
2043-10-01,60225.686952165684
2044-01-01,59992.03359572969
2044-04-01,60164.54940447147
2044-07-01,60846.48737286303
2044-10-01,62221.02675529437
2045-01-01,61987.40890519986
2045-04-01,62159.91417677563
2045-07-01,62841.81888813606
2045-10-01,64216.34936408455
2046-01-01,63982.75297473637
2046-04-01,64155.27629943511
2046-07-01,64837.17351261239
2046-10-01,66211.68597444118
2047-01-01,65978.08616370379
2047-04-01,66150.62183688968
2047-07-01,66832.52810320178
2047-10-01,68207.03556185622
2048-01-01,67973.42607606608
2048-04-01,68145.96067641463
2048-07-01,68827.87396951213
2048-10-01,70202.38589492776
2049-01-01,69968.77320871883
2049-04-01,70141.30265776545
2049-07-01,70823.21580005577
2049-10-01,72197.73168370377
2050-01-01,71964.12115830861
2050-04-01,72136.64862116464
2050-07-01,72818.55904547368
2050-10-01,74193.07508268532
2051-01-01,73959.46676608159
2051-04-01,74131.99524847267
2051-07-01,74813.90446832227
2051-10-01,76188.41908516148
2052-01-01,75954.81097926763
2052-04-01,76127.3406832611
2052-07-01,76809.25036843012
2052-10-01,78183.76426827033
2053-01-01,77950.15542778849
2053-04-01,78122.68531446632
2053-07-01,78804.59566946141
2053-10-01,80179.10977183351
