Quarter,Passengers
2013-01-01,2158906.74
2013-04-01,2334910.332
2013-07-01,2045483
2013-10-01,2340599.029
2014-01-01,2060938.425
2014-04-01,2228955.208
2014-07-01,1952661.607
2014-10-01,2234385.759
2015-01-01,2300202.958
2015-04-01,2487725.641
2015-07-01,2179355.749
2015-10-01,2493786.652
2016-01-01,2552495.961
2016-04-01,2760586.681
2016-07-01,2418393.876
2016-10-01,2767312.481
2017-01-01,2646318.545
2017-04-01,2862058.095
2017-07-01,2507287.243
2017-10-01,2869031.117
2018-01-01,1514166.221
2018-04-01,1637607.724
2018-07-01,1434615.518
2018-10-01,1641597.537
2019-01-01,1584826
2019-04-01,1714028
2019-07-01,1501563
2019-10-01,1718204
2020-01-01,1836225
2020-04-01,1485
2020-07-01,39689
2020-10-01,105377
2021-01-01,132265
2021-04-01,152548
2021-07-01,71755
2021-10-01,197825
2022-01-01,349177
2022-04-01,693593
2022-07-01,745775
2022-10-01,803562
2023-01-01,901717
2023-04-01,982708
2023-07-01,1007936
