original,forecast
2024-01-01,556393.0207520677
2024-04-01,579065.1030717958
2024-07-01,489632.5892401256
2024-10-01,494581.6195323542
2025-01-01,578522.505184573
2025-04-01,617630.3361088561
2025-07-01,523016.72325901
2025-10-01,524955.2565975873
2026-01-01,601115.2839573624
2026-04-01,648091.9156300393
2026-07-01,559799.1341541463
2026-10-01,559192.8659200016
2027-01-01,629332.0281684224
2027-04-01,677240.2554563021
2027-07-01,593108.645771129
2027-10-01,593108.3357892426
2028-01-01,660514.4510426231
2028-04-01,707374.755108374
2028-07-01,624772.9968565225
2028-10-01,625894.9608854216
2029-01-01,692569.5896741605
2029-04-01,738494.254543766
2029-07-01,656127.4893506457
2029-10-01,657938.0844791854
2030-01-01,724639.8570870364
2030-04-01,770113.5015271745
2030-07-01,687607.1404236506
2030-10-01,689681.1801750774
2031-01-01,756546.81324506
2031-04-01,801888.919426078
2031-07-01,719237.8406755377
2031-10-01,721360.7034668012
2032-01-01,788335.997675765
2032-04-01,833675.0533402037
2032-07-01,750949.9980602376
2032-10-01,753054.9923040809
2033-01-01,820074.8261037589
2033-04-01,865437.7874518161
2033-07-01,782689.4523154806
2033-10-01,784772.2354303437
2034-01-01,851801.6224727932
2034-04-01,897181.9713725221
2034-07-01,814431.9418302812
2034-10-01,816502.6699259982
2035-01-01,883529.9435989475
2035-04-01,928917.765685742
2035-07-01,846171.1567867578
2035-10-01,848237.819973362
2036-01-01,915261.7180000823
2036-04-01,960651.3434677373
2036-07-01,877907.4716799433
2036-10-01,879973.66832542
2037-01-01,946995.6149100102
2037-04-01,992385.0265244878
2037-07-01,909642.3989885116
2037-10-01,911709.0730882128
2038-01-01,978730.3181106729
2038-04-01,1024119.2224474618
2038-07-01,941376.9264242764
2038-10-01,943444.0281265464
2039-01-01,1010465.1670552312
2039-04-01,1055853.7575942932
2039-07-01,973111.4479111499
2039-10-01,975178.7552702466
2040-01-01,1042199.9586480338
2040-04-01,1087588.4293363064
2040-07-01,1004846.044411027
2040-10-01,1006913.4114761729
2041-01-01,1073934.6811127495
2041-04-01,1119323.1297999504
2041-07-01,1036580.6947539912
2041-10-01,1038648.0630097975
2042-01-01,1105669.3664019157
2042-04-01,1151057.8233775296
2042-07-01,1068315.3680436618
2042-10-01,1070382.7253114015
2043-01-01,1137404.0392808581
2043-04-01,1182792.5064326103
2043-07-01,1100050.0467807923
2043-10-01,1102117.3960982563
2044-01-01,1169138.7108089863
2044-04-01,1214527.1834637702
2044-07-01,1131784.7247981692
2044-10-01,1133852.070709962
2045-01-01,1200873.38384642
2045-04-01,1246261.8583495107
2045-07-01,1163519.4012314249
2045-10-01,1165586.7463266186
2046-01-01,1232608.0582110153
2046-04-01,1277996.532921958
2046-07-01,1195254.0766950413
2046-10-01,1197321.4218913675
2047-01-01,1264342.7332084833
2047-04-01,1309731.2076993214
2047-07-01,1226988.7517916097
2047-10-01,1229056.0972206555
2048-01-01,1296077.4083874503
2048-04-01,1341465.8826825954
2048-07-01,1258723.4268225061
2048-10-01,1260790.7723949114
2049-01-01,1327812.0835685115
2049-04-01,1373200.5577698536
2049-07-01,1290458.1018799846
2049-10-01,1292525.4475069523
2050-01-01,1359546.7587150997
2050-04-01,1404935.232889339
2050-07-01,1322192.7769691315
2050-10-01,1324260.1226060162
2051-01-01,1391281.4338370704
2051-04-01,1436669.9080108583
2051-07-01,1353927.4520752481
2051-10-01,1355994.7977082892
2052-01-01,1423016.1089485844
2052-04-01,1468404.5831274225
2052-07-01,1385662.1271870069
2052-10-01,1387729.472815386
2053-01-01,1454750.7840576326
2053-04-01,1500139.2582401058
2053-07-01,1417396.8022993663
2053-10-01,1419464.1479252335
