original,forecast
2024-01-01,1707.954844518328
2024-04-01,1692.0313339947677
2024-07-01,1585.6541619405905
2024-10-01,1642.4574132186503
2025-01-01,1740.755537921244
2025-04-01,1742.2448545151633
2025-07-01,1635.5928974816018
2025-10-01,1685.7600503497881
2026-01-01,1783.3904499908601
2026-04-01,1783.0371452600746
2026-07-01,1676.4163176655763
2026-10-01,1727.2805674086312
2027-01-01,1824.9835504165187
2027-04-01,1824.8211726862244
2027-07-01,1718.1990845934888
2027-10-01,1768.9860979162556
2028-01-01,1866.6834016348257
2028-04-01,1866.4972829312867
2028-07-01,1759.8772733312544
2028-10-01,1810.6689059722237
2029-01-01,1908.36871496414
2029-04-01,1908.1816066522956
2029-07-01,1801.563243795288
2029-10-01,1852.3509317008786
2030-01-01,1950.0523036734955
2030-04-01,1949.8618822239318
2030-07-01,1843.245134892683
2030-10-01,1894.0298604360394
2031-01-01,1991.7328192248594
2031-04-01,1991.5394068535973
2031-07-01,1884.9242037904257
2031-10-01,1935.7059389562257
2032-01-01,2033.4104085938056
2032-04-01,2033.2140459042162
2032-07-01,1926.6003222718286
2032-10-01,1977.3791435686387
2033-01-01,2075.085060787
2033-04-01,2074.8858159762176
2033-07-01,1968.2735083874813
2033-10-01,2019.0494791712865
2034-01-01,2116.756781458332
2034-04-01,2116.554717726032
2034-07-01,2009.9437647069449
2034-10-01,2060.716947669769
2035-01-01,2158.425574469579
2035-04-01,2158.220753520308
2035-07-01,2051.611095401005
2035-10-01,2102.3815513117197
2036-01-01,2200.091443838569
2036-04-01,2199.8839255706757
2036-07-01,2093.2755044385813
2036-10-01,2144.0432923338126
2037-01-01,2241.75439353431
2037-04-01,2241.5442361298797
2037-07-01,2134.9369957779927
2037-10-01,2185.702172998208
2038-01-01,2283.4144274994646
2038-04-01,2283.2016874702404
2038-07-01,2176.595573347582
2038-10-01,2227.3581955878885
2039-01-01,2325.071549648782
2039-04-01,2324.8562818851287
2039-07-01,2218.251241048564
2039-10-01,2269.0113624063683
2040-01-01,2366.725763870059
2040-04-01,2366.508021688038
2040-07-01,2259.9040027555025
2040-10-01,2310.661675776957
2041-01-01,2408.377074024803
2041-04-01,2408.1569092119275
2041-07-01,2301.553862317014
2041-10-01,2352.309138042099
2042-01-01,2450.0254839489044
2042-04-01,2449.802946808564
2042-07-01,2343.200823556428
2042-10-01,2393.9537515627203
2043-01-01,2491.6709974532914
2043-04-01,2491.4461368478733
2043-07-01,2384.844890272427
2043-10-01,2435.595518717597
2044-01-01,2533.313618324559
2044-04-01,2533.0864817173324
2044-07-01,2426.4860662396745
2044-10-01,2477.234441902751
2045-01-01,2574.953350325588
2045-04-01,2574.7239838213545
2045-07-01,2468.1243552094156
2045-10-01,2518.8705235308444
2046-01-01,2616.5901971961366
2046-04-01,2616.3586455807126
2046-07-01,2509.7597609100685
2046-10-01,2560.5037660306134
2047-01-01,2658.2241626534255
2047-04-01,2657.9904694319634
2047-07-01,2551.3922870477954
2047-10-01,2602.1341718463036
2048-01-01,2699.8552503926967
2048-04-01,2699.619457826902
2048-07-01,2593.0219373070545
2048-10-01,2643.7617434371227
2049-01-01,2741.48346408776
2049-04-01,2741.2456132320235
2049-07-01,2634.648715351142
2049-10-01,2685.386483276723
2050-01-01,2783.1088073915266
2050-04-01,2782.868938128004
2050-07-01,2676.2726248227127
2050-10-01,2727.00839385268
2051-01-01,2824.7312839365245
2051-04-01,2824.4894350091954
2051-07-01,2717.893669344289
2051-10-01,2768.6274776659975
2052-01-01,2866.350897335393
2052-04-01,2866.1071063831355
2052-07-01,2759.511852518754
2052-10-01,2810.2437372306294
2053-01-01,2907.967651181377
2053-04-01,2907.7219547700743
2053-07-01,2801.1271779298295
2053-10-01,2851.8571750730066
