original,forecast
2024-01-01,3121.635856070321
2024-04-01,3155.5363943760854
2024-07-01,2956.457561290128
2024-10-01,3186.456562842682
2025-01-01,3126.571450978481
2025-04-01,3249.969459941828
2025-07-01,3030.1393715746644
2025-10-01,3215.66895543825
2026-01-01,3209.3664313085915
2026-04-01,3268.449529465037
2026-07-01,3099.0298393231733
2026-10-01,3258.4129457007016
2027-01-01,3255.707027686764
2027-04-01,3331.553175928545
2027-07-01,3134.2202673747556
2027-10-01,3323.1671658782893
2028-01-01,3296.7529744050066
2028-04-01,3385.5414926509106
2028-07-01,3186.9344459198705
2028-10-01,3367.6696900265406
2029-01-01,3354.879498792765
2029-04-01,3429.2498677560347
2029-07-01,3242.0490166135824
2029-10-01,3416.626013092716
2030-01-01,3404.310762307114
2030-04-01,3482.7908961029902
2030-07-01,3288.914749411641
2030-10-01,3470.497016320278
2031-01-01,3452.687191477664
2031-04-01,3534.0867642175504
2031-07-01,3340.0525604602462
2031-10-01,3519.582779729756
2032-01-01,3505.043494461652
2032-04-01,3583.0411126831664
2032-07-01,3391.652721552078
2032-10-01,3569.799775579696
2033-01-01,3555.3019242568744
2033-04-01,3634.323043898009
2033-07-01,3441.332780265944
2033-10-01,3621.1315774589757
2034-01-01,3605.3600587754318
2034-04-01,3685.035957327903
2034-07-01,3492.0427116884816
2034-10-01,3671.3314905296897
2035-01-01,3656.3443143707914
2035-04-01,3735.218422629892
2035-07-01,3542.8381282499636
2035-10-01,3721.8172104060654
2036-01-01,3706.8231665017606
2036-04-01,3785.9511954636537
2036-07-01,3593.1869679065517
2036-10-01,3772.5551693908246
2037-01-01,3757.266231131891
2037-04-01,3836.5406057573737
2037-07-01,3643.7837473039635
2037-10-01,3823.0256368938767
2038-01-01,3807.9245782623548
2038-04-01,3887.010150041276
2038-07-01,3694.395123916692
2038-10-01,3873.5679255061095
2039-01-01,3858.46133185688
2039-04-01,3937.6096865899976
2039-07-01,3744.9027468336085
2039-10-01,3924.1671362851857
2040-01-01,3908.992348061565
2040-04-01,3988.173285023142
2040-07-01,3795.469981816352
2040-10-01,3974.703189067464
2041-01-01,3959.573353801967
2041-04-01,4038.709871553109
2041-07-01,3846.0393467388553
2041-10-01,4025.257204712707
2042-01-01,4010.125143595344
2042-04-01,4089.2771371854183
2042-07-01,3896.5846329342207
2042-10-01,4075.8240289943365
2043-01-01,4060.676217679356
2043-04-01,4139.835433893319
2043-07-01,3947.1442334425433
2043-10-01,4126.37595415819
2044-01-01,4111.238886608717
2044-04-01,4190.387661715664
2044-07-01,3997.7040268414776
2044-10-01,4176.932353103271
2045-01-01,4161.79454440371
2045-04-01,4240.947123598868
2045-07-01,4048.258238476966
2045-10-01,4227.49162518585
2046-01-01,4212.350183592381
2046-04-01,4291.504356012587
2046-07-01,4098.815883127357
2046-10-01,4278.047385648414
2047-01-01,4262.908509058336
2047-04-01,4342.060229403024
2047-07-01,4149.373500390909
2047-10-01,4328.6042561586555
2048-01-01,4313.465154038067
2048-04-01,4392.6178070565475
2048-07-01,4199.929825242408
2048-10-01,4379.16176891339
2049-01-01,4364.021829986031
2049-04-01,4443.174832487418
2049-07-01,4250.486972465754
2049-10-01,4429.7184547367115
2050-01-01,4414.579127546289
2050-04-01,4493.731554700249
2050-07-01,4301.044096081104
2050-10-01,4480.2754150566
2051-01-01,4465.13602278105
2051-04-01,4544.288678062343
2051-07-01,4351.600920811404
2051-10-01,4530.832518386661
2052-01-01,4515.692933635424
2052-04-01,4594.845665083591
2052-07-01,4402.157942314406
2052-10-01,4581.389427160087
2053-01-01,4566.24998815521
2053-04-01,4645.402584728122
2053-07-01,4452.714954217907
2053-10-01,4631.946403603549
