original,forecast
2024-01-01,563775.5223925189
2024-04-01,563680.9573710684
2024-07-01,503270.7176814344
2024-10-01,544401.1363146598
2025-01-01,595531.2178961524
2025-04-01,589523.6858995175
2025-07-01,519916.52265978797
2025-10-01,566345.7509401845
2026-01-01,619164.7834663001
2026-04-01,613324.6908456378
2026-07-01,543072.4020327402
2026-10-01,591251.4031828054
2027-01-01,645027.3907450879
2027-04-01,639751.1426880389
2027-07-01,569818.5475117803
2027-10-01,618662.4285466173
2028-01-01,672896.3156157798
2028-04-01,667954.3995090589
2028-07-01,598269.0703369277
2028-10-01,647386.1567233368
2029-01-01,701827.5438891919
2029-04-01,697047.6482735947
2029-07-01,627489.7343722145
2029-10-01,676723.3030201041
2030-01-01,731256.8294579368
2030-04-01,726550.6875118221
2030-07-01,657051.9953942561
2030-10-01,706336.0274299704
2031-01-01,760910.1424819647
2031-04-01,756236.8077496421
2031-07-01,686764.6678596121
2031-10-01,736070.7084791363
2032-01-01,790662.6462491655
2032-04-01,786003.7736070352
2032-07-01,716543.3751350098
2032-10-01,765859.0407055591
2033-01-01,820458.7944333183
2033-04-01,815806.2739677548
2033-07-01,746351.0391559675
2033-10-01,795670.9186902243
2034-01-01,850274.0982252653
2034-04-01,845624.3637533864
2034-07-01,776171.3948161652
2034-10-01,825493.1201338391
2035-01-01,880097.8009130054
2035-04-01,875449.2876244094
2035-07-01,805997.3120915027
2035-10-01,855319.8460413914
2036-01-01,909925.1846332158
2036-04-01,905277.2064968758
2036-07-01,835825.6663343275
2036-10-01,885148.5545702088
2037-01-01,939754.1813911881
2037-04-01,935106.4377487547
2037-07-01,865655.0883639904
2037-10-01,914978.1318279152
2038-01-01,969583.8849384426
2038-04-01,964936.2440428749
2038-07-01,895484.9782512829
2038-10-01,944808.0897281831
2039-01-01,999413.8981730073
2039-04-01,994766.3022967284
2039-07-01,925315.0731322994
2039-10-01,974638.2144091503
2040-01-01,1029244.047098873
2040-04-01,1024596.4709479946
2040-07-01,955145.2578319559
2040-10-01,1004468.412165711
2041-01-01,1059074.2554784026
2041-04-01,1054426.6879702732
2041-07-01,984975.4818858957
2041-10-01,1034298.6419405624
2042-01-01,1088904.4899077357
2042-04-01,1084256.926186451
2042-07-01,1014805.7231830168
2042-10-01,1064128.8857443142
2043-01-01,1118734.7357508605
2043-04-01,1114087.1736887917
2043-07-01,1044635.9720352807
2043-10-01,1093959.135694865
2044-01-01,1148564.9865949673
2044-04-01,1143917.425259888
2044-07-01,1074466.2241978496
2044-10-01,1123789.3883386508
2045-01-01,1178395.239630267
2045-04-01,1173747.67861372
2045-07-01,1104296.4778108369
2045-10-01,1153619.6421624843
2046-01-01,1208225.4936256434
2046-04-01,1203577.932748662
2046-07-01,1134126.7320593281
2046-10-01,1183449.8965033586
2047-01-01,1238055.7480416796
2047-04-01,1233408.1872258494
2047-07-01,1163956.9865862676
2047-10-01,1213280.1510707757
2048-01-01,1267886.002642029
2048-04-01,1263238.4418529922
2048-07-01,1193787.2412352094
2048-10-01,1243110.405737453
2049-01-01,1297716.2573231356
2049-04-01,1293068.6965458384
2049-07-01,1223617.495937607
2049-10-01,1272940.6604476213
2050-01-01,1327546.5120396265
2050-04-01,1322898.9512674732
2050-07-01,1253447.7506634265
2050-10-01,1302770.9151768459
2051-01-01,1357376.7667716208
2051-04-01,1352729.2060017213
2051-07-01,1283278.0053995082
2051-10-01,1332601.1699144193
2052-01-01,1387207.0215104085
2052-04-01,1382559.4607414964
2052-07-01,1313108.2601400868
2052-10-01,1362431.4246556514
2053-01-01,1417037.2762521722
2053-04-01,1412389.7154836927
2053-07-01,1342938.514882635
2053-10-01,1392261.6793984862
