original,forecast
2024-01-01,3091.789484102099
2024-04-01,3127.6158569445597
2024-07-01,2930.5192310947073
2024-10-01,2864.952296589448
2025-01-01,3364.773936541448
2025-04-01,3333.9493713043225
2025-07-01,3026.0258525745785
2025-10-01,3032.5559887150844
2026-01-01,3616.994970333643
2026-04-01,3477.2608127053973
2026-07-01,3120.663380133765
2026-10-01,3243.0539856965265
2027-01-01,3840.0822301029543
2027-04-01,3586.319479399277
2027-07-01,3250.7510120259894
2027-10-01,3474.8273995508807
2028-01-01,4022.5993601037603
2028-04-01,3686.8717709487682
2028-07-01,3421.5549182127043
2028-10-01,3702.8375812301892
2029-01-01,4167.657258235824
2029-04-01,3801.797632999516
2029-07-01,3623.6215196514736
2029-10-01,3908.22353969588
2030-01-01,4289.687353491641
2030-04-01,3944.7678272051635
2030-07-01,3839.360954400223
2030-10-01,4083.1420628507285
2031-01-01,4407.589886289506
2031-04-01,4117.7391914568125
2031-07-01,4050.3368540145007
2031-10-01,4231.06863485993
2032-01-01,4537.79375369595
2032-04-01,4312.6796637176685
2032-07-01,4243.334892391156
2032-10-01,4363.415278630141
2033-01-01,4689.497359717397
2033-04-01,4516.141336434422
2033-07-01,4413.542080023622
2033-10-01,4494.288151244011
2034-01-01,4863.176864129321
2034-04-01,4714.648409777986
2034-07-01,4564.400910526309
2034-10-01,4635.435035406281
2035-01-01,5052.183611388264
2035-04-01,4899.013207938384
2035-07-01,4704.852131854817
2035-10-01,4792.960752990007
2036-01-01,5246.300076041159
2036-04-01,5066.414760585706
2036-07-01,4845.371941459456
2036-10-01,4966.506465475244
2037-01-01,5435.724016322904
2037-04-01,5220.0239295847205
2037-07-01,4994.313009310241
2037-10-01,5150.6611027777
2038-01-01,5614.120548217817
2038-04-01,5366.787167231811
2038-07-01,5155.658753441896
2038-10-01,5337.705676997694
2039-01-01,5779.9528727143925
2039-04-01,5514.4471912215895
2039-07-01,5328.625687015554
2039-10-01,5520.545289637731
2040-01-01,5936.011317333032
2040-04-01,5668.906633744411
2040-07-01,5508.8702973603995
2040-10-01,5694.8533368191065
2041-01-01,6087.652763556126
2041-04-01,5832.709135296311
2041-07-01,5690.592541236545
2041-10-01,5859.900096675588
2042-01-01,6240.572308013523
2042-04-01,6004.899560167285
2042-07-01,5868.683257655091
2042-10-01,6018.064584689064
2043-01-01,6398.913759123466
2043-04-01,6182.031385465496
2043-07-01,6040.219808463204
2043-10-01,6173.44996119839
2044-01-01,6564.255380506711
2044-04-01,6359.768906427534
2044-07-01,6204.962294838027
2044-10-01,6330.225204978853
2045-01-01,6735.619725361892
2045-04-01,6534.452446761553
2045-07-01,6364.892118504453
2045-10-01,6491.278404195353
2046-01-01,6910.29897730034
2046-04-01,6704.133341280251
2046-07-01,6523.132596688276
2046-10-01,6657.54991589749
2047-01-01,7085.068205441117
2047-04-01,6868.854004212312
2047-07-01,6682.7208507857
2047-10-01,6828.122306465217
2048-01-01,7257.320639411898
2048-04-01,7030.23493985164
2048-07-01,6845.653632521018
2048-10-01,7000.886489474713
2049-01-01,7425.7774741373705
2049-04-01,7190.639827454049
2049-07-01,7012.457339764154
2049-10-01,7173.455398895468
2050-01-01,7590.630515443174
2050-04-01,7352.270380372397
2050-07-01,7182.314602774358
2050-10-01,7343.98328953628
2051-01-01,7753.185814870579
2051-04-01,7516.494588956021
2051-07-01,7353.595299116908
2051-10-01,7511.647531915654
2052-01-01,7915.2223866133945
2052-04-01,7683.5763998110615
2052-07-01,7524.541013955964
2052-10-01,7676.7064984694425
2053-01-01,8078.328286076
2053-04-01,7852.812766683691
2053-07-01,7693.853229570133
2053-10-01,7840.200064033996
